title,price,location,surface,total_pieces,bedrooms,bathrooms,link,ad_id,antenne_parabolique,ascenseur,chambre_rangement,chauffage_central,chemine,climatisation,concierge,cuisine_quipe,double_vitrage,entreseul,faade_extrieure,four,garage,jardin,machine__laver,meubl,microondes,piscine,porte_blinde,rfrigrateur,salon_europen,scurit,terrasse,vue_sur_les_montagnes,vue_sur_mer
Vends appS3 200metres habitable 40 m de terrasse vue mer,630 000 TND,"Tabarka Ville, Tabarka","240
						m²",5 Pièces,3 Chambres,2 Salles de bains,https://www.mubawab.tn/fr/a/7984110/vends-apps3-200metres-habitable-40-m-de-terrasse-vue-mer,N/A,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1
À vendre un bel appartement S3 neuf à la Soukra,650 000 TND,"Chotrana 2, La Soukra","156
						m²",3 Pièces,3 Chambres,3 Salles de bains,https://www.mubawab.tn/fr/a/8021645/%C3%A0-vendre-un-bel-appartement-s3-neuf-%C3%A0-la-soukra,N/A,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0
"S2 a vendre chotrana 1 
soukra",375 000 TND,"Chotrana 1, La Soukra","113
						m²",3 Pièces,2 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8116108/s2-a-vendre-chotrana-1-soukra,N/A,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
Des Luxueux Appartements aux prestations haut de gamme à Ain...,Prix à consulter,"La Marsa, La Marsa","86
						m²",N/A,1 Chambre,N/A,https://www.mubawab.tn/fr/a/7819257/des-luxueux-appartements-aux-prestations-haut-de-gamme-%C3%A0-ain-zaghouan,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kantaoui appartements proche mer,392 000 TND,"Cité Presidentielle, Cité Presidentielle","120
						m²",4 Pièces,3 Chambres,2 Salles de bains,https://www.mubawab.tn/fr/a/8056543/kantaoui-appartements-proche-mer,N/A,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
Soukra près Monoprix kiabi vente S4,700 000 TND,"La Soukra, La Soukra","151
						m²",5 Pièces,5 Chambres,3 Salles de bains,https://www.mubawab.tn/fr/a/8113705/soukra-pr%C3%A8s-monoprix-kiabi-vente-s4,N/A,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Particulier vend Duplex S3 Jardins de Carthage,780 000 TND,"Les Jardins de Carthage, Le Kram","200
						m²",5 Pièces,3 Chambres,3 Salles de bains,https://www.mubawab.tn/fr/a/7874749/particulier-vend-duplex-s3-jardins-de-carthage,N/A,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0
Un Appartement S2 124 m² Direct Promoteur,Prix à consulter,"Nouvelle Medina, Nouvelle Medina","124
						m²",2 Pièces,2 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8085388/un-appartement-s2-124-m%C2%B2-direct-promoteur,N/A,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Un appartement S3 à Nouvelle Médina Direct Prom,Prix à consulter,"Nouvelle Medina, Nouvelle Medina",N/A,3 Pièces,4 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8097208/un-appartement-s3-%C3%A0-nouvelle-m%C3%A9dina-direct-prom,N/A,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Un Appartement S2 de 126 m² à Yasminette,225 000 TND,"El Yasminette, Nouvelle Medina","126
						m²",3 Pièces,2 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8103703/un-appartement-s2-de-126-m%C2%B2-%C3%A0-yasminette,N/A,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
Un Appartement S1 à Nouvelle Médina Vente direc,Prix à consulter,"Nouvelle Medina, Nouvelle Medina",N/A,2 Pièces,1 Chambre,1 Salle de bain,https://www.mubawab.tn/fr/a/8097212/un-appartement-s1-%C3%A0-nouvelle-m%C3%A9dina-vente-direc,N/A,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
Un appartement S2 à Nouvelle Médina Direct Prom,Prix à consulter,"Nouvelle Medina, Nouvelle Medina",N/A,2 Pièces,3 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8097210/un-appartement-s2-%C3%A0-nouvelle-m%C3%A9dina-direct-prom,N/A,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Appartement a Vendre,195 000 TND,"Rejiche, Rejiche","82
						m²",3 Pièces,2 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8104651/appartement-a-vendre,N/A,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Vente Appartement Marina S2,355 000 TND,"Hammamet Nord, Hammamet","83
						m²",3 Pièces,2 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8111363/vente-appartement-marina-s2,N/A,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0
A vendre S3 Neuf à Manouba Ville,300 000 TND,"La Manouba, La Manouba","117
						m²",4 Pièces,3 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8114830/a-vendre-s3-neuf-%C3%A0-manouba-ville,N/A,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0
S2 en vente,165 000 TND,"Tunis, Tunis","80
						m²",N/A,N/A,N/A,https://www.mubawab.tn/fr/a/8114097/s2-en-vente,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A vendre appartement S 3,400 000 TND,"Aouina, La Marsa","129
						m²",1 Pièce,3 Chambres,2 Salles de bains,https://www.mubawab.tn/fr/a/8114617/a-vendre-appartement-s-3,N/A,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Appartement S2 à La Marsa,420 000 TND,"Cité Erriadh, La Marsa","113
						m²",3 Pièces,2 Chambres,2 Salles de bains,https://www.mubawab.tn/fr/a/8100930/appartement-s2-%C3%A0-la-marsa,N/A,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0
Vente Appartement Tantana,560 000 TND,"Tantana, Hammam Sousse","148
						m²",4 Pièces,3 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8042042/vente-appartement-tantana,N/A,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
